China
Russian_Federation
Turkey
Iran_Islamic_Republic_of
Pakistan
Venezuela_Bolivarian_Republic_of
Kazakhstan
Saudi_Arabia
United_Arab_Emirates
Myanmar
Belarus
Uzbekistan
Azerbaijan
Egypt
Rwanda
Bahrain
South_Sudan
Sudan
Ethiopia
Cuba
Viet_Nam
