ASN,Prefix
AS135405,103.135.217.0/24
AS135405,103.135.218.0/24
AS135405,103.135.219.0/24
AS135405,103.217.156.0/24
AS135405,103.217.157.0/24
AS135405,103.217.158.0/24
AS135405,103.217.159.0/24
AS135405,38.225.238.0/23
AS135405,38.83.17.0/24
AS135405,38.83.18.0/24
AS135405,45.195.135.0/24
AS135405,45.199.180.0/24
AS135427,103.219.108.0/23
AS135427,45.250.201.0/24
AS135427,45.250.203.0/24
AS135433,103.219.156.0/22
AS135433,103.219.157.0/24
AS135433,103.219.158.0/23
AS135433,45.250.240.0/22
AS135433,45.250.240.0/24
AS135433,45.250.241.0/24
AS135589,103.129.76.0/23
AS135589,103.129.78.0/24
AS135589,103.129.79.0/24
AS135589,103.13.35.0/24
AS136168,103.82.232.0/24
AS136168,103.96.230.0/23
AS136168,103.96.232.0/24
AS136168,123.253.228.0/22
AS136177,103.83.34.0/23
AS136177,103.83.35.0/24
AS136210,103.149.50.0/24
AS136210,103.149.51.0/24
AS136210,103.83.188.0/24
AS136210,103.83.189.0/24
AS136210,103.83.190.0/24
AS136210,103.83.191.0/24
AS136210,202.157.190.0/24
AS136210,202.157.191.0/24
AS136229,103.131.86.0/24
AS136229,103.131.87.0/24
AS136255,103.23.132.0/22
AS136255,103.23.132.0/24
AS136255,103.23.133.0/24
AS136255,103.85.104.0/22
AS136255,103.85.104.0/24
AS136255,103.85.105.0/24
AS136255,103.85.106.0/24
AS136255,103.85.107.0/24
AS136255,117.18.228.0/22
AS136255,117.18.228.0/24
AS136255,117.18.230.0/24
AS136255,120.88.32.0/20
AS136255,120.88.34.0/24
AS136255,120.88.35.0/24
AS136255,146.88.41.0/24
AS136255,202.165.80.0/20
AS136255,202.165.80.0/22
AS136255,202.165.80.0/24
AS136255,202.165.82.0/24
AS136255,202.165.84.0/24
AS136255,202.165.86.0/24
AS136255,202.165.87.0/24
AS136255,202.165.88.0/22
AS136255,202.165.88.0/24
AS136255,202.165.89.0/24
AS136255,202.165.90.0/24
AS136255,202.165.91.0/24
AS136255,202.165.92.0/24
AS136255,202.165.93.0/24
AS136255,202.165.95.0/24
AS136255,202.191.101.0/24
AS136255,202.191.102.0/24
AS136255,202.191.104.0/24
AS136255,202.191.105.0/24
AS136255,202.191.106.0/24
AS136255,202.191.107.0/24
AS136255,202.191.109.0/24
AS136255,202.191.110.0/24
AS136255,202.191.111.0/24
AS136255,202.191.96.0/20
AS136255,202.191.96.0/24
AS136255,202.191.97.0/24
AS136255,202.191.98.0/23
AS136255,27.109.116.0/23
AS136255,27.109.118.0/23
AS136255,27.109.118.0/24
AS136255,43.231.64.0/22
AS136255,43.231.65.0/24
AS136255,43.231.67.0/24
AS136255,43.252.80.0/22
AS136255,43.252.82.0/23
AS136255,45.112.44.0/22
AS136255,45.112.45.0/24
AS136255,45.112.46.0/24
AS136255,45.112.47.0/24
AS136255,65.18.112.0/20
AS136255,65.18.113.0/24
AS136255,65.18.114.0/24
AS136255,65.18.116.0/23
AS136255,65.18.116.0/24
AS136255,65.18.117.0/24
AS136255,65.18.118.0/23
AS136255,65.18.118.0/24
AS136255,65.18.119.0/24
AS136255,65.18.120.0/21
AS136255,65.18.121.0/24
AS136255,65.18.127.0/24
AS136442,103.172.180.0/23
AS136442,103.172.180.0/24
AS136442,103.88.48.0/22
AS136442,156.236.2.0/23
AS136442,203.96.240.0/22
AS136465,103.103.173.0/24
AS136465,103.89.48.0/22
AS136474,103.89.180.0/22
AS136474,103.89.180.0/23
AS136474,103.89.182.0/24
AS136474,103.89.183.0/24
AS136474,42.156.32.0/22
AS136480,103.116.56.0/22
AS136480,103.116.56.0/24
AS136480,103.116.57.0/24
AS136480,103.116.58.0/24
AS136480,103.116.59.0/24
AS136480,103.134.204.0/22
AS136480,103.134.204.0/24
AS136480,103.134.205.0/24
AS136480,103.134.206.0/24
AS136480,103.89.176.0/22
AS136480,103.89.176.0/24
AS136480,103.89.177.0/24
AS136480,43.227.12.0/22
AS136613,103.94.52.0/24
AS136613,103.94.54.0/24
AS136617,103.94.68.0/22
AS136617,103.94.68.0/24
AS136617,103.94.69.0/24
AS136617,103.94.70.0/24
AS136617,203.109.36.0/22
AS136617,203.109.36.0/24
AS136617,203.109.37.0/24
AS136617,203.109.38.0/23
AS136780,103.105.172.0/22
AS136780,103.105.172.0/24
AS136780,103.105.173.0/24
AS136780,103.105.174.0/24
AS136780,43.239.206.0/23
AS136780,43.239.207.0/24
AS136789,103.186.104.0/24
AS136919,103.99.28.0/22
AS136919,103.99.31.0/24
AS136975,103.101.16.0/22
AS136975,154.18.220.0/23
AS136975,154.18.222.0/24
AS137069,103.164.145.0/24
AS137259,103.31.222.0/23
AS137259,103.31.222.0/24
AS137424,103.186.122.0/23
AS137424,103.186.122.0/24
AS137424,103.186.123.0/24
AS137431,103.108.104.0/22
AS137826,103.115.23.0/24
AS137861,103.115.214.0/24
AS137888,103.116.159.0/24
AS137891,103.116.190.0/24
AS137891,103.116.191.0/24
AS137955,103.103.194.0/24
AS137955,103.116.192.0/24
AS138158,103.121.158.0/24
AS138166,160.30.212.0/23
AS138167,103.121.224.0/23
AS138167,103.121.226.0/24
AS138167,103.121.227.0/24
AS138168,103.121.228.0/24
AS138168,103.121.229.0/24
AS138168,103.121.230.0/24
AS138168,103.121.231.0/24
AS138168,45.195.81.0/24
AS139003,103.168.220.0/23
AS139003,103.168.221.0/24
AS139051,185.205.143.0/24
AS139058,160.30.186.0/23
AS139058,160.30.186.0/24
AS139058,160.30.187.0/24
AS139206,103.139.206.0/24
AS139595,103.142.39.0/24
AS139595,103.171.14.0/24
AS139620,103.142.144.0/24
AS139620,103.142.145.0/24
AS139692,103.110.182.0/23
AS139692,103.115.6.0/24
AS139704,103.139.100.0/23
AS139704,103.139.101.0/24
AS139704,165.101.220.0/23
AS139711,103.143.246.0/23
AS139719,103.115.4.0/23
AS139719,103.144.8.0/24
AS139719,103.144.9.0/24
AS139719,203.166.158.0/24
AS139804,103.145.120.0/24
AS139822,103.145.186.0/24
AS139849,103.146.66.0/23
